1:1	Adam|the-man Seth|Seth Enos|Enosh
4:19	Die|the Kinder|old des|of-the Weibes|wife Hodijas|[Hodijas] der|the Schwester|sister Nahams|[Nahams] waren|were der|the Vater|father Kegilas|[Kegilas] der|the Garmiter|[Garmiter] und|and Esthemoa|[Esthemoa] der|the Maachathiter|Maachathite
4:20	Die|the Kinder|old Simons|[Simons] waren|were Amnon|[Amnon] und|and Rinna|[Rinna] Ben-|[Ben-] Hanan|[Hanan] und|and Thilon|[Thilon] Die|the Kinder|old Jeseis|[Jeseis] waren|were Soheth|[Soheth] und|and Ben-|[Ben-] Soheth|[Soheth]
4:21	Die|the Kinder|old aber|but Selas|Shelah des|of-the Sohnes|old Juda|Judah s|Judah waren|were Ger|Er der|the Vater|father Lechas|[Lechas] Laeda|[Laeda] der|the Vater|father Maresas|Mareshah und|and die|the Freundschaft|families der|the Leinweber|service von|from dem|the Hause|household Asbeas|[Asbeas]
4:22	dazu|also Jokim|[Jokim] und|and die|the Männer|men von|from Koseba|[Koseba] und|and Joas|Joash und|and Saraph|[Saraph] die|the da|then Herren|lords wurden|marry über|over Moab|Moab und|and sie|they kehrten|turned nach|after Lahem|[Lahem] zurück|[zurück] wie|as die|the alte|ancient Rede|word lautet|[lautet]
4:23	Sie|walk waren|were Töpfer|form und|and wohnten|dwell unter|under Pflanzungen|[Pflanzungen] und|and Zäunen|hedge bei|hide dem|the König|royal zu|to seinem|his Geschäft|work und|and blieben|dwell daselbst|in it
4:24	Die|the Kinder|old Simeons|Simeon waren|were Nemuel|Nemuel Jamin|Jamin Jarib|Jarib Serah|Zerah Saul|Saul
4:25	des|of-the Sohn|old war|was Sallum|Shallum des|of-the Sohn|old war|was Mibsam|Mibsam des|of-the Sohn|old war|was Mismas|Mishma
4:26	Die|the Kinder|old aber|but Mismas|Mishma waren|were Hammuel|[Hammuel] des|of-the Sohn|old war|was Sakkur|Zaccur des|of-the Sohn|old war|was Simei|Shimei
4:27	Und|and Simei|Shimei hatte|had sechzehn|six Söhne|old und|and sechs|six Töchter|daughter aber|but seine|his Brüder|brothers hatten|had nicht|not viel|many Kinder|old und|and alle|all (manner ihre|their Freundschaften|families mehrten|multiply sich|himself nicht|not so|then wie|ever die|the Kinder|old Juda|Judah s|Judah
4:28	Sie|they wohnten|dwell aber|but zu|to Beer-|[Beer-] Seba|Seba Molada|Moladah Hazar-|[Hazar-] Sual|Hazarshual
4:29	Bilha|Bilhah Ezem|[Ezem] Tholad|[Tholad]
4:30	Bethuel|Bethuel Horma|Hormah Ziklag|Ziklag
4:31	Beth-|[Beth-] Markaboth|Bethmarcaboth Hasar-|[Hasar-] Susim|[Susim] Beth-|[Beth-] Birei|[Birei] Saaraim|Shaaraim Dies|this waren|were ihre|their Städte|town bis|until auf|ever den|the König|reign David|David dazu|also ihre|their Dörfer|court
4:32	Etam|Etam Ain|Ain Rimmon|Rimmon Thochen|[Thochen] Asan|Ashan die|the fünf|five Städte|town
4:33	und|and alle|all (manner Dörfer|court die|the um|circuits diese|these Städte|town her|circuits waren|were bis|until gen|ever Baal|Baal das|hereby (-in ist|is ihre|their Wohnung|habitation und|and sie|they hatten|had ihr|walk eigenes|[eigenes] Geschlechtsregister|genealogy
4:34	Und|and Mesobab|[Mesobab] Jamlech|[Jamlech] Josa|[Josa] der|the Sohn|old Amazjas|[Amazjas]
4:35	Joel|Joel Jehu|Jehu der|the Sohn|old Josibjas|[Josibjas] des|of-the Sohnes|old Serajas|Seraiah des|of-the Sohnes|old Asiels|[Asiels]
4:36	Eljoenai|[Eljoenai] Jaekoba|[Jaekoba] Jesohaja|[Jesohaja] Asaja|[Asaja] Adiel|[Adiel] Ismeel|[Ismeel] und|and Benaja|Benaiah
4:37	Sisa|[Sisa] der|the Sohn|old Sipheis|[Sipheis] des|of-the Sohnes|old Allons|[Allons] des|of-the Sohnes|old Jedajas|Jedaiah des|of-the Sohnes|old Simris|[Simris] des|of-the Sohnes|old Semajas|Shemaiah
4:38	diese|these die|the mit|with Namen|name genannt|called sind|are waren|were Fürsten|prince in|in ihren|their Geschlechtern|families und|and ihre|their Vaterhäuser|[Vaterhäuser] breiteten|[breiteten] sich|himself aus|increase in|in die|the Menge|multitude
4:39	Und|and sie|they zogen|went hin|go daß|that sie|they gen|entry Gedor|[Gedor] kämen|came bis|until gegen|ever Morgen|east des|of-the Tals|valley daß|that sie|they Weide|pasture suchten|seek für|for ihre|their Schafe|flock
4:40	und|and fanden|find fette|fat und|and gute|good Weide|pasture und|and ein|a Land|land weit|large von|from Raum|by still|rest und|and ruhig|peaceable denn|and vormals|face wohnten|dwell daselbst|in it die|the von|stringed instrument Ham|Ham
4:41	Und|and die|the jetzt|was-giving-birth mit|with Namen|name aufgezeichnet|[aufgezeichnet] sind|write kamen|came zur|to-the Zeit|time Hiskias|Hezekiah des|of-the Königs|royal Juda|Judah s|Judah und|and schlugen|smite jener|that-one Hütten|tents und|and die|the Meuniter|habitation die|the daselbst|in it gefunden|found wurden|find und|and verbannte|destroy sie|they bis|until auf|ever diesen|this Tag|time und|and wohnten|dwell an|to ihrer|their Statt|Toah denn|and es|it war|was Weide|pasture daselbst|in it für|for ihre|their Schafe|flock
4:42	Auch|also gingen|go aus|stringed instrument ihnen|honour aus|stringed instrument den|the Kindern|old Simeons|Simeon fünfhundert|five Männer|men zu|to dem|the Gebirge|mountain Seir|Seir mit|with ihren|their Obersten|head Pelatja|Pelatiah Nearja|[Nearja] Rephaja|Rephaiah und|and Usiel|Uzziel den|the Kindern|old Jeseis|[Jeseis]
4:43	und|and schlugen|smite die|the übrigen|remnant Entronnenen|escape der|the Amalekiter|Amalek und|and wohnten|dwell daselbst|in it bis|until auf|ever diesen|this Tag|time
5:1	Die|the Kinder|old Rubens|Reuben des|of-the ersten|firstborn Sohnes|firstborn Israels|Israelites denn|and er|he war|was der|the erste|first Sohn|firstborn aber|but damit|thus daß|that er|he seines|his Vaters|father's Bett|chamber entweihte|begin war|was seine|his Erstgeburt|birthright gegeben|put den|the Kinder|old Josephs|Joseph des|of-the Sohnes|old Israels|Israelites und|and er|he ward|genealogy nicht|not aufgezeichnet|genealogy zur|to-the Erstgeburt|birthright
5:2	denn|and Juda|Judah der|the mächtig|prevail war|was unter|under seinen|his Brüdern|brothers dem|the ward|was das|the Fürstentum|ruler vor|stringed instrument ihm|him gegeben|given und|and Joseph|Joseph die|the Erstgeburt|birthright
5:3	So|then sind|are nun|now die|the Kinder|old Rubens|Reuben des|of-the ersten|firstborn Sohnes|firstborn Israels|Israelites Henoch|Enoch Pallu|Pallu Hezron|Hezron und|and Charmi|Carmi
5:4	Die|the Kinder|old aber|but Joels|Joel waren|were Semaja|Shemaiah des|of-the Sohnes|old war|was Gog|Gog des|of-the Sohnes|old war|was Simei|Shimei
5:5	des|of-the Sohn|old war|was Micha|Micah des|of-the Sohn|old war|was Reaja|Reaiah des|of-the Sohn|old war|was Baal|Baal
5:6	des|of-the Sohn|old war|was Beera|[Beera] welchen|whom gefangen|taken-captive wegführte|uncover Thilgath-|[Thilgath-] Pilneser|[Pilneser] der|the König|royal von|from Assyrien|Assyria er|he aber|but war|was ein|a Fürst|prince unter|under den|the Rubenitern|Reubenite
5:7	Aber|but seine|his Brüder|brothers unter|under seinen|his Geschlechtern|families da|then sie|they nach|after ihrer|their Geburt|generations aufgezeichnet|[aufgezeichnet] wurden|genealogy waren|were Jeiel|Jeiel der|the Oberste|head und|and Sacharja|Zachariah
5:8	und|and Bela|Bela der|the Sohn|old des|of-the Asas|[Asas] des|of-the Sohnes|old Semas|Shema des|of-the Sohnes|old Joels|Joel der|he wohnte|dwell zu|to Aroer|Aroer und|and bis|until gen|ever Nebo|Nebo und|and Baal-|[Baal-] Meon|Baalmeon
5:9	und|and wohnte|dwell gegen|toward Aufgang|east bis|ever man|one kommt|comes an|to die|the Wüste|wilderness am|stringed instrument Wasser|river Euphrat|Euphrates denn|and ihres|her Viehs|cattle war|was viel|multiply im|in-the Lande|land Gilead|Gilead
5:10	Und|and zur|to-the Zeit|time Sauls|Saul führten|carried sie|make Krieg|war wider|hide die|the Hagariter|[Hagariter] daß|that sie|they fielen|fall durch|through ihre|their Hand|by und|and wohnten|dwell in|in deren|whose Hütten|tents auf|above der|the ganzen|all (manner Morgengrenze|face von|from Gilead|Gilead
5:11	Die|the Kinder|old Gads|Gad aber|but wohnten|dwell ihnen|them gegenüber|opposite im|in-the Lande|land Basan|Bashan bis|until gen|ever Salcha|Salchah
5:12	Joel|Joel der|the Vornehmste|head und|and Sapham|[Sapham] der|the andere|second Jaenai|[Jaenai] und|and Saphat|Shaphat zu|to Basan|Bashan
5:13	Und|and ihre|their Brüder|brothers nach|after ihren|their Vaterhäusern|[Vaterhäusern] waren|were Michael|Michael Mesullam|Meshullam Seba|Sheba Jorai|[Jorai] Jaekan|[Jaekan] Sia|[Sia] und|and Eber|Eber die|the sieben|seven
5:14	Dies|this sind|are die|the Kinder|old Abihails|[Abihails] des|of-the Sohnes|old Huris|[Huris] des|of-the Sohnes|old Jaroahs|[Jaroahs] des|of-the Sohnes|old Gileads|Gilead des|of-the Sohnes|old Michaels|Michael des|of-the Sohnes|old Jesisais|[Jesisais] des|of-the Sohnes|old Jahdos|[Jahdos] des|of-the Sohnes|old Bus|[Bus]
5:15	Ahi|[Ahi] der|the Sohn|old Abdiels|[Abdiels] des|of-the Sohnes|old Gunis|Guni war|was ein|a Oberster|head in|in ihren|their Vaterhäusern|[Vaterhäusern]
5:16	und|and sie|they wohnten|dwell zu|to Gilead|Gilead in|in Basan|Bashan und|and in|in seinen|his Ortschaften|daughter und|and in|in allen|all (manner Fluren|suburbs Sarons|Sharon bis|until an|above ihre|their Enden|outgoings
5:17	Diese|these wurden|genealogy alle|all (manner aufgezeichnet|genealogy zur|to-the Zeit|time Jothams|Jotham des|of-the König|royal in|in Juda|Judah und|and Jerobeams|Jeroboam des|of-the Königs|royal über|over Israel|Israelites
5:18	Der|the Kinder|old Ruben|Reuben der|the Gaditer|Gadite und|and des|of-the halben|half Stammes|tribe Manasse|Manasseh was|stringed instrument streitbare|army Männer|old waren|were die|the Schild|shield und|and Schwert|sword führen|bear und|and Bogen|bow spannen|tread konnten|could und|and streitkundig|war waren|were deren|whose waren|were vierundvierzigtausend|[vierundvierzigtausend] und|and siebenhundertundsechzig|seven die|the ins|into-the Heer|host zogen|bring
5:19	Und|and sie|they stritten|make mit|hide den|the Hagaritern|[Hagaritern] und|and mit|with Jetur|Jetur Naphis|Nephish und|and Nodab|[Nodab]
5:20	und|and es|it ward|was ihnen|them geholfen|help wider|above sie|they und|and die|the Hagariter|[Hagariter] wurden|were gegeben|put in|in ihre|their Hände|by und|and alle|all (manner die|the mit|with ihnen|them waren|were Denn|and sie|they schrieen|cry zu|to Gott|God im|in-the Streit|war und|and er|he ließ|had sich|himself erbitten|intreat denn|and sie|they vertrauten|[vertrauten] ihm|him
5:21	Und|and sie|they führten|carried weg|take ihr|you Vieh|cattle fünftausend|fifty Kamele|camel zweihundertfünfzigtausend|hundred Schafe|flock zweitausend|[zweitausend] Esel|ass und|and hunderttausend|hundred Menschenseelen|[Menschenseelen]
5:22	Denn|and es|it fielen|fall viele|many Verwundete|slay denn|and der|the Streit|war war|was von|stringed instrument Gott|God Und|and sie|they wohnten|dwell an|to ihrer|their Statt|Toah bis|ever zur|to-the Zeit|time da|then sie|they gefangen|taken-captive weggeführt|[weggeführt] wurden|captivity
5:23	Die|the Kinder|old aber|but des|of-the halben|half Stammes|tribe Manasse|Manasseh wohnten|dwell im|in-the Lande|land von|stringed instrument Basan|Bashan an|to bis|until gen|ever Baal-|[Baal-] Hermon|Baalhermon und|and Senir|Senir und|and den|the Berg|mountain Hermon|Hermon und|and ihrer|walk waren|were viel|multiply
5:24	Und|and diese|these waren|were die|the Häupter|head ihrer|their Vaterhäuser|[Vaterhäuser] Epher|Epher Jesei|[Jesei] Eliel|[Eliel] Asriel|Azriel Jeremia|Jeremiah Hodavja|Hodaviah Jahdiel|[Jahdiel] gewaltige|mighty Männer|men und|and berühmte|name Häupter|head in|in ihren|their Vaterhäusern|[Vaterhäusern]
5:25	Und|and da|then sie|they sich|himself an|to dem|the Gott|God ihrer|their Väter|fathers versündigten|trespass und|and abfielen|whore zu|to den|the Götzen|household-idols der|the Völker|nation im|in-the Lande|land die|the Gott|God vor|stringed instrument ihnen|face vertilgt|was hatte|destroy
5:26	erweckte|awake der|the Gott|God Israels|Israelites den|the Geist|wind Phuls|Pul des|of-the Königs|royal von|from Assyrien|Assyria und|and den|the Geist|wind Thilgath-|[Thilgath-] Pilnesers|[Pilnesers] des|of-the Königs|royal von|from Assyrien|Assyria der|the führte|brought weg|uncover die|the Rubeniter|Reubenite Gaditer|Gadite und|and den|the halben|half Stamm|tribe Manasse|Manasseh und|and brachte|brought sie|they gen|to Halah|[Halah] und|and an|to den|the Habor|[Habor] und|and gen|to Hara|[Hara] und|and an|to das|the Wasser|river Gosan|Gozan bis|until auf|ever diesen|this Tag|time
6:1	[5|[[5] 27]|[27]] Die|the Kinder|old Levis|Levi waren|were Gerson|Gershon Kahath|Kohath und|Merari Merari|Merari
6:2	[5|[[5] 28]|[28]] Die|the Kinder|old aber|but Kahaths|Kohath waren|were Amram|Amram Jizhar|Izhar Hebron|Hebron und|and Usiel|Uzziel
6:3	[5|[[5] 29]|[29]] Die|the Kinder|old Amrams|Amram waren|were Aaron|[Aaron] Mose|Moses und|and Mirjam|Miriam Die|the Kinder|old Aaron|[Aaron] waren|were Nadab|Nadab Abihu|[Abihu] Eleasar|[Eleasar] und|and Ithamar|[Ithamar]
6:4	[5|[[5] 30]|[30]] Eleasar|[Eleasar] zeugte|beget Pinehas|Phinehas Pinehas|Phinehas zeugte|beget Abisua|[Abisua]
6:5	[5|[[5] 31]|[31]] Abisua|[Abisua] zeugte|beget Bukki|Bukki Bukki|Bukki zeugte|beget Usi|Uzzi
6:6	[5|[[5] 32]|[32]] Usi|Uzzi zeugte|beget Serahja|Zerahiah Serahja|Zerahiah zeugte|beget Merajoth|Meraioth
6:7	[5|[[5] 33]|[33]] Merajoth|Meraioth zeugte|beget Amarja|[Amarja] Amarja|[Amarja] zeugte|beget Ahitob|[Ahitob]
6:8	[5|[[5] 34]|[34]] Ahitob|[Ahitob] zeugte|beget Zadok|Zadok Zadok|Zadok zeugte|beget Ahimaaz|[Ahimaaz]
6:9	[5|[[5] 35]|[35]] Ahimaaz|[Ahimaaz] zeugte|beget Asarja|Azariah Asarja|Azariah zeugte|beget Johanan|Johanan
6:10	[5|[[5] 36]|[36]] Johanan|Johanan zeugte|beget Asarja|Azariah den|he der|the Priester|priests' war|decketh in|in dem|the Hause|household das|the Salomo|Solomon baute|build zu|to Jerusalem|Jerusalem
6:11	[5|[[5] 37]|[37]] Asarja|Azariah zeugte|beget Amarja|[Amarja] Amarja|[Amarja] zeugte|beget Ahitob|[Ahitob]
6:12	[5|[[5] 38]|[38]] Ahitob|[Ahitob] zeugte|beget Zadok|Zadok Zadok|Zadok zeugte|beget Sallum|Shallum
6:13	[5|[[5] 39]|[39]] Sallum|Shallum zeugte|beget Hilkia|Hilkiah Hilkia|Hilkiah zeugte|beget Asarja|Azariah
6:14	[5|[[5] 40]|[40]] Asarja|Azariah zeugte|beget Seraja|Seraiah Seraja|Seraiah zeugte|beget Jozadak|Josedech
6:15	[5|[[5] 41]|[41]] Jozadak|Josedech aber|but ward|was mit|with weggeführt|go da|then der|the HERR|GOD Juda|Judah und|and Jerusalem|Jerusalem durch|by Nebukadnezar|Nebuchadrezzar ließ|had gefangen|taken-captive wegführen|uncover
6:16	[6|[[6] 1]|[1]] So|then sind|are nun|now die|the Kinder|old Levis|Levi diese|these Gerson|Gershom Kahath|Kohath Merari|Merari
6:17	So|then heißen|name aber|but die|the Kinder|old Gersons|Gershom Libni|Libni und|and Simei|Shimei
6:18	Aber|but die|the Kinder|old Kahaths|Kohath heißen|be-called Amram|Amram Jizhar|Izhar Hebron|Hebron und|and Usiel|Uzziel
6:19	Die|the Kinder|old Meraris|Merari heißen|be-called Maheli|Mahli und|and Musi|Mushi Das|the sind|are die|the Geschlechter|families der|the Leviten|Levite nach|after ihren|their Vaterhäusern|[Vaterhäusern]
6:20	Gerson|Gershom Sohn|old war|was Libni|Libni des|of-the Sohn|old war|was Jahath|[Jahath] des|of-the Sohn|old war|was Simma|[Simma]
6:21	des|of-the Sohn|old war|was Joah|Joah des|of-the Sohn|old war|was Iddo|Iddo des|of-the Sohn|old war|was Serah|Zerah des|of-the Sohn|old war|was Jeathrai|[Jeathrai]
6:22	Kahaths|Kohath Sohn|old aber|but war|was Aminadab|Amminadab des|of-the Sohn|old war|was Korah|Korah des|of-the Sohn|old war|was Assir|[Assir]
6:23	des|of-the Sohn|old war|was Elkana|[Elkana] des|of-the Sohn|old war|was Abiasaph|[Abiasaph] des|of-the Sohn|old war|was Assir|[Assir]
6:24	des|of-the Sohn|old war|was Thahat|Tahath des|of-the Sohn|old war|was Uriel|[Uriel] des|of-the Sohn|old war|was Usia|Uzziah des|of-the Sohn|old war|was Saul|Saul
6:25	Die|the Kinder|old Elkanas|[Elkanas] waren|were Amasai|[Amasai] und|and Ahimoth|[Ahimoth]
6:26	des|of-the Sohn|old war|was Elkana|[Elkana] des|of-the Sohn|old war|was Elkana|[Elkana] von|from Zoph|[Zoph] des|of-the Sohn|old war|was Nahath|Nahath
6:27	des|of-the Sohn|old war|was Eliab|[Eliab] des|of-the Sohn|old war|was Jeroham|Jeroham des|of-the Sohn|old war|was Elkana|[Elkana]
6:28	Und|and die|the Kinder|old Samuels|Samuel waren|were der|the Erstgeborene|firstborn Vasni|[Vasni] und|and Abia|[Abia]
6:29	Meraris|Merari Sohn|old war|was Maheli|Mahli des|of-the Sohn|old war|was Libni|Libni des|of-the Sohn|old war|was Simei|Shimei des|of-the Sohn|old war|was Usa|Uzza
6:30	des|of-the Sohn|old war|was Simea|[Simea] des|of-the Sohn|old war|was Haggia|[Haggia] des|of-the Sohn|old war|was Asaja|[Asaja]
6:31	Dies|this sind|are aber|but die|the David|David bestellte|stood zu|above singen|song im|in-the Hause|household des|of-the HERRN|GOD als|stringed instrument die|the Lade|coffin des|of-the Bundes|covenant zur|to-the Ruhe|rest gekommen|come war|was
6:32	und|and sie|they dienten|be thou vor|face der|the Wohnung|tabernacle der|the Hütte|tent des|of-the Stifts|congregation mit|with Singen|song bis|until daß|ever Salomo|Solomon das|the Haus|household des|of-the HERRN|GOD baute|build zu|to Jerusalem|Jerusalem und|and standen|stood nach|after ihrer|their Weise|judgment in|above ihrem|her Amt|service
6:33	Und|and dies|this sind|are sie|they die|the da|then standen|stood und|and ihre|their Kinder|old Von|stringed instrument den|the Kindern|old Kahaths|Kohathite war|was Heman|Heman der|the Sänger|sing der|the Sohn|old Joels|Joel des|of-the Sohnes|old Samuel|Samuel
6:34	des|of-the Sohnes|old Elkanas|[Elkanas] des|of-the Sohnes|old Jerohams|Jeroham des|of-the Sohnes|old Eliels|[Eliels] des|of-the Sohnes|old Thoahs|[Thoahs]
6:35	des|of-the Sohnes|old Zuphs|[Zuphs] des|of-the Sohnes|old Elkanas|[Elkanas] des|of-the Sohnes|old Mahaths|[Mahaths] des|of-the Sohnes|old Amasais|[Amasais]
6:36	des|of-the Sohnes|old Elkanas|[Elkanas] des|of-the Sohnes|old Joels|Joel des|of-the Sohnes|old Asarjas|Azariah des|of-the Sohnes|old Zephanjas|Zephaniah
6:37	des|of-the Sohnes|old Thahaths|Tahath des|of-the Sohnes|old Assirs|[Assirs] des|of-the Sohnes|old Abiasaphs|[Abiasaphs] des|of-the Sohnes|old Korahs|Korah
6:38	des|of-the Sohnes|old Jizhars|Izhar des|of-the Sohnes|old Kahaths|Kohath des|of-the Sohnes|old Levis|Levi des|of-the Sohnes|old Israels|Israelites
6:39	Und|and sein|his Bruder|brother Asaph|[Asaph] stand|stood zu|above seiner|his Rechten|hand Und|and er|he der|the Asaph|[Asaph] war|was ein|a Sohn|old Berechjas|Berechiah des|of-the Sohnes|old Simeas|[Simeas]
6:40	des|of-the Sohnes|old Michaels|Michael des|of-the Sohnes|old Baesejas|[Baesejas] des|of-the Sohnes|old Malchias|Malchiah
6:41	des|of-the Sohnes|old Athnis|[Athnis] des|of-the Sohnes|old Serahs|Zerah des|of-the Sohnes|old Adajas|Adaiah
6:42	des|of-the Sohnes|old Ethans|[Ethans] des|of-the Sohnes|old Simmas|[Simmas] des|of-the Sohnes|old Simeis|Shimei
6:43	des|of-the Sohnes|old Jahats|[Jahats] des|of-the Sohnes|old Gersons|Gershom des|of-the Sohnes|old Levis|Levi
6:44	Ihre|their Brüder|brothers aber|but die|the Kinder|old Meraris|Merari standen|stood zur|above Linken|left nämlich|namely Ethan|[Ethan] der|the Sohn|old Kusis|[Kusis] des|of-the Sohnes|old Abdis|Abdi des|of-the Sohnes|old Malluchs|Malluch
6:45	des|of-the Sohnes|old Hasabjas|Hashabiah des|of-the Sohnes|old Amazjas|[Amazjas] des|of-the Sohnes|old Hilkias|Hilkiah
6:46	des|of-the Sohnes|old Amzis|[Amzis] des|of-the Sohnes|old Banis|Bani des|of-the Sohnes|old Semers|[Semers]
6:47	des|of-the Sohnes|old Mahelis|Mahli des|of-the Sohnes|old Musis|Mushi des|of-the Sohnes|old Meraris|Merari des|of-the Sohnes|old Levis|Levi
6:48	Ihre|their Brüder|brothers aber|but die|the Leviten|Levite waren|were gegeben|put zu|to allerlei|all (manner Amt|service an|to der|the Wohnung|tabernacle des|of-the Hauses|household Gottes|of-God
6:49	Aaron|[Aaron] aber|but und|and seine|his Söhne|old waren|incense im|above Amt|altar anzuzünden|[anzuzünden] auf|on dem|the Brandopferaltar|ascent und|and auf|above dem|the Räucheraltar|altar und|and zu|to allem|all (manner Geschäft|work im|in-the Allerheiligsten|holy und|and zu|above versöhnen|atonement Israel|Israelites wie|as Mose|Moses der|the Knecht|servant Gottes|of-God geboten|commanded hatte|command
6:50	Dies|this sind|are aber|but die|the Kinder|old Aarons|[Aarons] Eleasar|[Eleasar] sein|his Sohn|old des|of-the Sohn|old war|was Pinehas|Phinehas des|of-the Sohn|old war|was Abisua|[Abisua]
6:51	des|of-the Sohn|old war|was Bukki|Bukki des|of-the Sohn|old war|was Usi|Uzzi des|of-the Sohn|old war|was Serahja|Zerahiah
6:52	des|of-the Sohn|old war|was Merajoth|Meraioth des|of-the Sohn|old war|was Amarja|[Amarja] des|of-the Sohn|old war|was Ahitob|[Ahitob]
6:53	des|of-the Sohn|old war|was Zadok|Zadok des|of-the Sohn|old war|was Ahimaaz|[Ahimaaz]
6:54	Und|and dies|this ist|is ihre|their Wohnung|habitation und|and Sitz|castle in|in ihren|their Grenzen|border nämlich|namely der|the Kinder|old Aaron|[Aaron] des|of-the Geschlechts|families der|the Kahathiter|Kohathite denn|and das|the Los|lot fiel|be thou ihnen|them zu|to
6:55	und|and sie|they gaben|put ihnen|them Hebron|Hebron im|in-the Lande|land Juda|Judah und|and desselben|that Vorstädte|suburbs umher|circuits
